Tweet,Analysis,context,Counter,
  هل سيتم قطع خدمة الانترنت اليوم في تمام الساعه ١١ مساءً ؟؟؟,,,,
  هل شريحة موبايلي تعمل في البحرين ؟,,,,
  هل صحيح موجود لديكم باقة 150  وشكرا لكم,,,,
  هل عرض حلا120 متوفر وماهي مميزاته,,,,
  هل عملت في شركه الاتصالات السعوديه !؟ هل شفت كميه المهمدسين من الباكستانيين والهنود هل تعتقد ان السعوديين الخجمات يوصلون مستواهم اذا نعم اكرشهم كم بكره وراح نشب اي مهندس سعودي ، رحم الله أمراء عرف قدر نفسه.,,,,
  هل عندكم ايفون بالتقسيط! وايش الشروط,,,,
  هل في حلا ١٩ تجوال دولي واللا يبغالها تفعيل من الشركة,,,,
  هل في خصم معين لموظفي شركة الاتصالات السعودية ؟,,,,
  هل فيه دوام للفروع النسائية صباح السبت؟؟,,,,
  هل فيه رقم ثالث,,,,
  هل فيها شرائح متعدده,,,,
  هل لعميل التميز اي خدمة خاصة او كحالة كسائر العملاء  ,,,,
  هل لي ان اقترح يا قبطان ان يتم اضافة خدمة (الحجز الاليكتروني) + الدفع عبر الانترنت - لحجز تذاكر المسرح القومي.,,,,
  هل ما زال العرض ساري ام انتهى العرض ؟,,,,
  هل مازال العرض مستمر,,,,
  هل مازالت المشكلة مستمره الان اليوم الخامس لا استطيع الدخول ع حسابي بسبب مشكلة رمز التحقق لاتصل علما المشكلة لديكم وليس لدى شركات الاتصالات ماهو الحل البديل الي انتهى المشكلة لديكم,,,,
"  هل من الممكن ان توضح لنا من أين اشترى الوزير جهاز الايفون الذي قام بتجربة الفيس تايم عليه؟!
انا جهازي من الاتصالات السعودية و ما يطلع عندي برنامج الفيس تايم",,,,
  هل هذا الجهاز يقبل شريحة موبايلي ؟؟  ,,,,
  هل هذا العرض صحيح ام لا  ,,,,
  هل هذا العرض صحيح.. و كيفية الإشتراك فيه؟!  ,,,,
  هل هذا العرض فقط للمفوتر ام يشمل مسبق الدفع ؟  ,,,,
  هل هذا العرض متوفر  ,,,,
  هل هذا عرض مؤقت او سعر ثابت؟,,,,
  هل هذي صحيحة وكيف افعلها ؟  ,,,,
  هل هناك ارقام مميزة بباقات شهرية عقد سنتسن او سنه وسته اشهر  واقدر اخذ جوال ايضا ياليت وين بالقصيم الفرع الرئيسي,,,,
  هل هو جالكسي نت 8  شريحتين؟,,,,
  هل هو مندوب احدى شركات الاتصالات,,,,
  هل هو نت مفتوح ؟!,,,,
  هل يتم إيقاف النت عنده انتهاء القيقات او يتم احتساب مبلغ إضافي  ,,,,
  هل يتوفر لاجهزة التاب تطبيق my stc,,,,
  هل يتوفرلديكم جهازهواوي ميت10 برو اللون الحجم؟,,,,
  هل يحق للموظف رفض اعطائي رقم قبل نهاية الدوام الرسمي بساعة,,,,
  هل يشملها الاستخدام العادل ؟؟,,,,
  هل يوجد ٦٠٠ قيقا لشرائح البيانات؟,,,,
  هل يوجد حرف باللغه الانجليزيه,,,,
  هل يوجد خدمه  باقه لامحدود ب120ريال  شهرياً,,,,
  هل يوجد دعم فني عبر الايميل ؟! واذا يوجد هل يمكنك تزويدي به رجاءاً,,,,
  هل يوجد عرض للباقات الصوتية المفوترة او الشحن للمحولين من مشغل اخر؟,,,,
  هل يوجد عرض لمدة سنه لامحدود,,,,
  هل يوجد عرض لموظفي الاتصالات السعودية بخصوص ( التامين ضد الغير ),,,,
  هل يوجد عرض مودم مع اشتراك لمدة ٦ شهرر,,,,
  هل يوجد عروض جديده  ع النت ووكم اسعاركم ع الثلاثه شهور بلا حدود,,,,
  هل يوجد عندكم عروض شريحة بيانات مفوتره,,,,
  هل يوجد فرع نسأئي في الرياض يقدر يخدمنا,,,,
  هل يوجد لديكم نت مفتوح وبدون استخدام عادل منزلي وان كان موجود كم سعر الاشتراك لديكم ودمتم,,,,
  هل يوجد نت لامحدود,,,,
  هلا اخوي ناصر ، تحليلي لسهم الاتصالات السعودية عن عام ٢٠١٨ م ولن تتغير وجهة نظري عن هبوط السهم خلال العام ٢٠١٨م.  ابدا .,,,,
"  هلا طلال بكره بداية السوق اخضر بأذن الله 

بسبب ان شركة الاتصالات اعلنت نتائج طيبه وهي قياديه 

( ما لم تعلن شركات سلبية قبل افتتاح السوق )

والله أعلم",,,,
"  هلا طلال بكره بداية السوق اخضر بأذن الله بسبب ان شركة الاتصالات اعلنت نتائج طيبه وهي قياديه ( ما لم تعلن شركات سلبية قبل افتتاح السوق )والله أعلم",,,,
  هلا فيك، قطاف هو برنامج تعاوني بين الاتصالات السعودية وبنده حيث تستطيع استبدال نقاط قطاف للاتصالات السعودية لدى ( بنده وهايبربنده) بواقع 100 ريال لكل 500 نقطة، لمزيد من المعلومات ولحساب نقاط قطاف تفضل بزيارة الرابط التالي:  ,,,,
  هلا ممكن توني ماخذ واحد سهل اذا كنت عميل اس تي سي مميز تقدر تحصل على طلبك دفعه اولى 1365 وشهرياً 150 لمدة 24 شهر,,,,
  هنا باندنوسيا طاير وللاسف عندنا شركة الاتصالات تنهب نهب وخدماتها اسواء من السيئ.,,,,
"  هههه تستهبلون حاولو لأي شركة كلهم المستأجرين من استي سي..يعني تفر تفر واخير راجعه الفلوس لهم 
عشان كذاخدماتهم واتصالتهم واسعارهم..ع مزاجهم 
ولن تفلتو منهم الا في حالة من الثنتين تموت ولا تسافر برا ولا ترجع والأولى اوفرلك من الشحططه . 
مرحبا بكم الامتصاصات السعوديه😎
اقولهم استمرو",,,,
"  هههه تستهبلون حاولو لأي شركة كلهم المستأجرين من استي سي..يعني تفر تفر واخير راجعه الفلوس لهم عشان كذاخدماتهم واتصالتهم واسعارهم..ع مزاجهم ولن تفلتو منهم الا في حالة من الثنتين تموت ولا تسافر برا ولا ترجع والأولى اوفرلك من الشحططه . مرحبا بكم الامتصاصات السعوديه😎اقولهم استمرو",,,,
"  هههههه سوالك هذا جوابه انت وين عايش كل المشتركين في جميع شركات الاتصالات جاتهم رسائل لدعم الفراشه ماريا",,,,
  هههههههه صلحو نتكم بعدين نزلوا بقاتكم  ,,,,
  هههههههههااااااااي عجبني اُسلوب المتحدث ورده امتصاص لفعل السيكلوجيا المضاده موبايلي زين وأمهم الاس تي سي احد يخرج عن شور أمه  ان طبلت الام رقصوا العيال ( عارف المشتركين ذول المساكين لوقلبوا عليكم قسم بالله ❌تبيعون المفتوح ب5 ريال ولا تلقون❌),,,,
  هههههههههههه          ,,,,
  هههههههههههههههههه اعلان مضرووووب,,,,
  هههههههههههههههههههه عقبال مايصير اس تي سي والطيران المدني وارامكو,,,,
  ههههههههههههههههههههههههههه اس تي سي ما رسلو لنا لانه عارفين نفسهم,,,,
  ههههههههههههههههههههههههههههه اس تي سي برو حياة افضل,,,,
  هههههههههههههههههههههههههههههههههههههههههههههههههه الله يلعن اس تي سي,,,,
"  هو فيه مشكلة في خدمة الأنترنت ADSL او اي updates من الساعة 1 صباحاً  لحد الساعه 7 صباحاً ؟؟",,,,
"  هو لو 10 ميغا تجي البيتليقلب البيت عرس من الفرحة 😂😂😂😂😂😂😂😂😂💔بس حسبي الله على شركات الإتصالاتيقدروا يرفعوا مستوى الانترنت بالسعوديةبس كلاب همهم بلع الفلوس على غير فائدة 😭💔💔💔",,,,
"  هي بالنهاية حسب التغطية من ناحية الابراج 
بس لو جيت للألياف مثلا اس تي سي افضل من موبايلي ببعض الاشياء",,,,
  هي شركات اتصالات اكتر بلد بصوت يعني بيدفع هوي يلي بيربح هيك شركة الاتصالات هي يلي عم تعمل البرامج وهي مربح كتير خيالي لها,,,,
  هي نفس الأسعار الي قبل شهر,,,,
  هيييييييههه الششبكهههه زفففتتتت زفتتتتت !!!! والنت عند لامحدود سلاماااات !!!! كل شي يعلق 24 ساعه احط وضع طيران عشان تضبط الى متى ؟,,,,
  هيئة #الاتصالات : رسائل احتيالية مرسلة عن طريق أحد التطبيقات تستهدف الهواتف الذكية للمواطنين لا تستجيبوا لها  ,,,,
  هيئة الاتصالات شريكة بكل مايحدث من استهتار و عبث بل وتأييد ذلك من قبلها و محاولة التغطية على جميع المشاكل من قبل شركات الاتصالات .,,,,
  هيئة الاتصالات للاسف لن تسمح لاي شركة اتصالات ان تنافس ابنتها القبيحه  اس تي سي  في مجال الانترنت  وسوف نبقى تحت رحمة هذه الشركه الفاشله الى ان يشاء الله,,,,
  هيئة الاتصالات ليش ما تحمي المواطن من جشع شركة الاتصلات السعوديه,,,,
  هيئة الاتصالات ما قالت لكل قيقا بالفاتوره يقابله ريال واحد فقط يعني اللي 300 المفروض ب 300 ريال مع الضريبه 315 ؟ وش ذا ما تفهمون انتوا ؟,,,,
"  هيئة الاتصالات مالها دخل عارفين ذا الشي من زمان لن شركات الاتصالات تتحكم فيها ..",,,,
  هيئة الاتصالات وتقنية المعلومات أثبتت أنها تعمل + أبل صرحة أن الفيس تايم شغال عندنا أذن = شركات الاتصالات تتحمل مسؤولية الحجب ✋,,,,
  هيئة الإتصالات تاخذ نسبة من أرباح شركات الاتصالات ، هنا المشكلة 😂,,,,
  هيئة شركة الاتصالات هي المتسببة وهذا اسمها الفعلي,,,,
  هيئة فاشله مع احترامي لكم ولافيه انصاف ولاحل مشاكل مع شركات الاتصالات لي اكثر من شهرين احاول استرجع مبلغ بسيط من موبايلي,,,,
  هيئه الاتصالات تعتبر محتاله لعدم تجاوبها مع مشاكل الناس وارتفاع الاسعار المبالغ فيها واستغلال العملاء .. انتم ياهيئه الاتصالات مع البقرات الثلاث #اس_تي_سي_زين_موبايلي ، هيئه الاتصالات يبي لها هيئه ومراقبه واتخاذ اجراءات لعدم تجاوبها مع العملاء ✋🏻,,,,
"  ہاہاہا، ایک جاٹ سے کسی دوست نے، اُسکے بندھے جانوروں کی طرف اشارہ کرتے ہوئے پوچھا: ""بھائیا، ڈبُو چنگا اے، یا کالُو؟"" اِس پر جاٹ نے تاریخی جواب دیا: ""بھائی جی، ڈبُو، کالُو توں بھیڑا اے، تے کالُو، ڈبُو توں بھیڑا اے، دونویں اِکّو جے نیں....!""😀😀😀",,,,
"  ہاہاہاہاہاہاہاہاہاہاہاہاہاہا 
ہڈی ٹوٹ جانی تے fir کٹ جانی اس نال
تھپڑ صحیح 
عدالت وچ کہناپیار نال مارا سی
اے تا پتا او نوں کہ نسوار کھادی سی",,,,
  و اس تي سي بعد,,,,
  و اس تي سي مجهزين لك عرض  ,,,,
  و ال ٥٠ جيجا بكم,,,,
  و الحل يعني لمتى حجلس ادق عليكم و ما تردو  للاسف خدمه مره سيئه,,,,
"  و اياك 
حتى انا قالو لي المشكلة مع شركة الشحن بس هي عن طريقهم .. و عشرات الاتصالات و لا تجاوبو .. يقولون ننتظر افادة الشركة على اساس ان الشحنة سلمت لغيري .. ويوم شكيتهم عالتجارة ردو ..
وتواصلو معي .. قلت لهم الشحن عن طريقكم انتم ما لي دخل فيهم ولا ابغا اسمع طاري للشحن ترجعون حقي",,,,
"  و بخصوص الرسوم بصراحة أخر مجموعة من الأجانب متوقع مغادرتهم أرضنا هم أبناء المواطنات.
لذلك تجنيسهم معناته خسارة عميل مميز مجبور على دفع الرسوم.

و نتعلم من شركات الاتصالات السعودية هذي حركاتهم",,,,
"  و بخصوص الرسوم بصراحة أخر مجموعة من الأجانب متوقع مغادرتهم أرضنا هم أبناء المواطنات.لذلك تجنيسهم معناته خسارة عميل مميز مجبور على دفع الرسوم.و نتعلم من شركات الاتصالات السعودية هذي حركاتهم",,,,
  و شبكتكم صارت سيئة جدا و السرعة ضعيفة بعد قرار تعديل أسعار باقات الانترنت!! و للاسف لا خدمة عملاء أفادونا و لا قمتم بتحسين السرعة مع العلم اني ادفع قبل موعد الاستحقاق بشهر,,,,
  و هذولاء   حاطين ٧ دقايق بس ف ملعب الجوهره 💦😮,,,,
  واجد 400 متوفوه,,,,
  واجهتني مشكله من شهور او بالاصح من حولت من ٢٥ الى ٥٠ ج.ب الياف وهي اتصال المودم على سيرفرات اخرى مجاوره ولكن المشكله تروح وتجي مع طلب المساعده المستمر .. الان رجعت المشكله ولما كلمة خدمة العملاء كلموني وكانهم فاهمين الاجهزه بالتحليل وقالو المشكله مو من السيرفرات ..يتبع,,,,
  واحنا اصحاب السوا مالنا عروض ولا أجهزة والا يكون احنا مشتركين في شركة الاتصالات تبع المريخ مو من أهل الأرض,,,,
  واحنا بدورنا ننصح #هيئة_الاتصالات  إنها تقوم بعملها وترحمنا من جشع الشركات المشغلة وتوقف سرقة العملاء بأسعار عاليه جداًوخدمة اسوء من السيئ سواء في التغطية او سوء النت والفواتير العالية,,,,
  واخر شيء شبكة للأسف ليست مرضية وخدمات شركات الاتصالات ليست مرضيه وظالمة نريد عمل منكم أنتم واخاصتاً نريدكم فقط تنظرون الى شركة stc,,,,
  واذا رحنا المكاتب ما نلقى نفس السعر يقول ما عندنا,,,,
"  واذا قلت لك ..جربت اتصال فيس تايم، بالطريقة العادية دون وسيط ثالث.. فشلوشغلت، وسيط ثالث بروكسي، وتم الاتصال بفعالية وسلاسة ..ونفس الحال مع الواتس ..اذا المسئول عنها شركات الاتصالات.. ما تضحكون علينا",,,,
"  واذا قلت لك ..جربت اتصال فيس تايم، بالطريقة العادية دون وسيط ثالث.. فشلوشغلت، وسيط ثالث بروكسي، وتم الاتصال بفعالية وسلاسة ..ونفس الحال مع الواتس ..اذا المسئول عنها شركات الاتصالات.. ما تضحكون عليناشركات الاتصالات ضاربة بقرارات الهيئة عرض الحائط",,,,
  واشو الفايده بالله اذا سوت تخفيض ومافيه رحلات مثل اس تي سي تسوي عروض وشبكتها خايسه,,,,
  واشوفك تمدح اس تي سي بعدها😂😂😂😂😂😂😂,,,,
  واضح اس تي سي,,,,
  واضح ان الاستثمار في شركات الاتصالات لم يعد مغري كما في السابق,,,,
  والاربعاء,,,,
  والاستخدام العادل ايش وضعه,,,,
  والأجانب مدراء في شركات الاتصالات والشركات الكبرى للأسف !!!!!!!!!,,,,
  والتايم الحكم هه الله ياخذ اس تي سي,,,,
"  والراس مرفوع والراية سعودية 🇸🇦
 #الانترنت_عندك_سريع_او_بطي
 #متي_تحتاج_الصمت
 #قول_اللي_بخاطرك_بتغريده
 #ابناء_شهداء_الطايف_في_قلوبنا
 #مهرجان_الملك_عبدالعزيز_للابل
.
.
.
.
.
#تحت_حكم_سيد_السادات_سلمان  ",,,,
  والشبكه تعبانه,,,,
"  والعلم عند الله أصوات جماهير النصر تذهب لنادي آخر 
هل يعقل مايحدث!!!
يجب وظع رابط لجمهور النصر لمن يريد الدعم نريد حصر ومعرفة العدد قبل شركة الاتصالات،",,,,
  والله اتمنى احضر المباراه وانشاء الله افوز معاكم,,,,
  والله احلاهم زين ما فيه سياسة الاستخدام العادل اضطريت على اس تي سي زي الزفت مايمدي النت ساعة حلو وباقي اليوم يجيب الهم تنخفض السررعة تصير تجيب الهم,,,,
  والله احيان على فورجي اس تي سي يوصل معي 100 ميجابت,,,,
  والله اخيس شركه اس تي سي,,,,
  والله اس تي سي ضفعه,,,,
  والله اس تي سي ميزتها الوحيدة التغطية لا اكثر ولا اقل ، اذا اخد بيبدا بمشروع الاتصالات لازم يغطي المناطق كاملة و المدن كافة,,,,
  والله الصراحه اني جالسه انتظرهم يحطون سجن لمدة ٥ سنوات وغرامه مليون على شركات الاتصالات النصابه ولرؤسائها النصابين اجل يزيدون ٢٠٠ ريال علينا,,,,
  والله العظيم اني ندمان على اني عميل عندكم اشتركت في باقة نت  عندكم ولا استفدت شي ياناس انصحكم لاتتعاملون مع موبايلي زفت,,,,
  والله العظيم نت زين و اس تي سي بالكويت احسن من نتهم ، الله يلعنهم .,,,,
  والله الي عنده تغطية زين كويسه انصحه فيها عن هالنصابين ب137 شهري وسائل التواصل الاجتماعي مفتوح ومكالمان لجميع الشرايح 500 دقيقه ومعها كم قيق,,,,
  والله ان خدمتكم سيأة بس مجبورين مالك الا ضرسك لو كان عوج 🙂💔,,,,
  والله ان شركة الاتصالات السعوديه اخطر من اي خطر حالك على الحد فالذي نعلم بخطره وضعنا له الجيش على الحدود ولكن stc. علمنا بخطرها وادخلناها داخل بيوتنا مثل السرطان اقل بيت فيه (٥) جولات كلها يدفع عليها اقل شي١٠٠٠ ريال بدون مقابل الابراج كلها خارج التغطيه كس امك يا (stc) 😜,,,,
  والله ان عروض موبايلي أقوى وشكلي رح انقل طبعاً هاد العرض اليوم ابتدا  ,,,,
  والله انكم ازين من اس تي سي الخايسين نتهم بطي,,,,
  والله انكم نصابين,,,,
  والله اني اذكرها قبل الحملة كنت افعل 2 جيجا ب 100 ريال !,,,,
  والله اني نفس وضعك مافي شركه مرت على الاتصالات وما اشتغلت معاها وليا 11 سنوات و اخر شي قالو جيب شهادة جامعيه و نرسمك في الشركة و اخدنا الشهادة و لا شفنا شي تغير      ,,,,
  والله إنكم حرامية وكذابين,,,,
  والله تعبنا يا الاتصالات السعودية النت المنزلي منقطع عندي من الصباح وإذا تواصلت معكم يقولي نعتذر عن خدمتك ويقفل في وجهي وش الحل يعني,,,,
  والله توقعاتي انكم عارفين معاناة الشعب العماني مع شركات الاتصالات ف اتمنى انكم تقنعونا وتبهرونا بالاسعار والعروض والسرعة، وتخلونا نغير لأواصر 🤷🏿,,,,
"  والله ثم والله ثم والله مامنكم ولا فائده خساره ومرعى وقله صنعه أكلونا شركات الأتصالات ولا حسيب ولا رقيب ما عندكم غير الطقاع",,,,
  والله حرام عندكم 3 مليون متابع نتكم اسواء نت عرفه التاريخ بل يوم اطفيها واشغلها مليون مره علشان تشتغل شهل اهانه,,,,
  والله شركات الاتصالات تاكل اموال الناس بالباطل وخصوصاً النت النت زفت في جميع مناطق المملكة ولا حياتة لمن تنادي تصاريح رنانة ووعود بدون تنفيذ 😡😡,,,,
  والله شركات الاتصالات عندنا نصب عيني عينك ومانقول الا حسبي الله عليهم,,,,
  والله شركات الاتصالات عندنا يبغالها لفت نظر,,,,
  والله شركة كذابين مايخافون الله لي شهر ابغى الغي الالياف البصري ولا الغوها وسددت الفواتير وعند الذهاب يقولوا ماسددت  رفعت ثلاث شكاوي ولا ردو عليه  ابعدوا عن اس تي سي يغرونكم في البدايه وبعدها تبتلشون,,,,
  والله شركه فاشله وتعتمد في نضامها على الخداع واللف والدوران  يجب تغير نضامكم,,,,
  والله ضروري جداً وضروفي  صعبه وزوجي موقفه خدماته   حلمي ترجع له خدماته  ونسدد الديون. بليز كيف أشارك. أنا اس تي  سي,,,,
  والله كزم اس تي سي,,,,
  والله كلنا اس تي سي 😐,,,,
  والله كنت اشوف ليفت اوفرز💔😭😭 اخخ بس متى ينقل بس ،، احتري اتصال اس تي سي على احر من الجمر,,,,
  والله كنت في موبايلي وحولت stc فاتوره صارلي ٣ شهور اقسم بالله اسوا ٣ اشهر مرت علي بحياتي stc طالق طالق طالق,,,,
"  والله كنت مشتركة ب اس تي سي كل هذه السنوات بدون مشكلة ، جربت غيرها لما الكل رفعوا اسعارهم ، و لكن اكتشفت ان Stc , أفضل من زين بكثير ، من ناحية السرعة .",,,,
  والله لبشه. مندوبين خدمة الفيبر مزعحين بشكل غير طبيعي. يا شركة الاتصالات  ارباحكم بالمليارات.  يعنى تدريب بسيط فقط للمندوبين الفيبر.,,,,
  والله للأسف اتعبتنا مع كثير من الجهات اللي يهمها تاريخ الإنتهاء. مع المدارس حيث اصبحوا يطالبوننا اننا نراجع الجوازات ونستخرج برنت، وكذلك مع الاتصالات السعودية حيث اصبحوا يأخرون معاملتنا يوم او يومين لكي يتأكدوا من تاريخ إنتهاء الهوية، فبدل زيارة وحدة للمكتب تصبح زيارتين,,,,
  والله لو بريال ، معاذ الله موبايلي,,,,
  والله لو تعرف كيف تأسست شركات الاتصالات في السعودية والرشوة التي قد تصل 7 مليار دولار من كل شركة اتصالات لكل فاسد حتى يسمح لها يسمح لها بالعمل السعودية ..والى الآن بعضها تسدد لذلك المجرم الفاسد وتكده من ظهر المواطن السعودي البسيط,,,,
  والله لو عنكم مستحيل اطلع وجهي قدام ناس عب هذا انترنت تكلموا فيه في عمان ياخي عطو شركات ثانية تنافس في الاتصالات شبكات ضعيفه نحن داخل البيت خمس سنوات ماشي شبكه اتصل حال امي اطمن عليها ماشي شبكه وبعدكم تكلموا عن عروضكم شي مضحك تراكم دول ثانية تقدم وانتوا ترجعوا على وراء,,,,
  والله ماطقولك خبر شركات الاتصالات,,,,
  والله مافي تغطيه والله 1100 تموت حتى يرد عليك  .,,,,
  والله مايمر يوم الا والعن اس تي سي,,,,
  والله مدري شي غريب!! جربي طريقة شركات الاتصالات طف و شغل الجهاز 😂.,,,,
  والله مدري عن الجديدة زين بس رفعووها ، ادخل حساب اس تي سي توهم منزلين عنها كاملة,,,,
  والله من النصب قبل 3 اشهر قلتوا انترنت لا محدود يوم استهلكت 6 جيجا باليوم خفضتوا سرعة النت الى 512 وش استفيد اذا السرعه 512  يدوب يرسل واتساب كتابي,,,,
  والله من النصب والدجة,,,,
"  والله منتم قد كلامكم اللي تقولوهتقولون دوركم الاساسي حماية حقوق المستخدملكن الحقيقه عكس ذلكوظيفتكم حماية شركات الاتصالات من المستخدم صاحب الحق الواضح والدليل موجود",,,,
  والله مو معقول تجبرون الواحد يراجع الفرع الرئيسي واخر شي ثلاث ارباع المكاتب فاضيه وننتظر اكثر من ساعه.. حسبي الله عليكم,,,,
  والله نفسي اساعدك بس اس تي سي ماتبي  ,,,,
  والله نقاطي كثيره وقاعده تتنتهى كلمااروح مكان يقولوا ماعتدنا استبدال,,,,
  والله هيئة الاتصالات صارو يسخفوني ماهم قادرين يلزمون احد ، بكرة تصقعهم شركات الاتصالات بقضية و يلغون القرار,,,,
"  والله يا هيئة الاتصالات ما لكم اي داعي في الوجود
امام عينكم زيادة اسعار النت بمبالغ خرافيه مقارنه بأغلب الدول 
في الخارج سرعات عاليه واسعار رخيصه
وعندنا سرعات منخفضه جدا واسعار عاليه 
مثال شركة الاتصالات 330 جيجا ب 300 ريال
وزادو السعر الى 540 ومع العروض الى 400
فن النصب",,,,
  والله ياعبادي مافيه مقارنة .. STC هذي عقوبة للشعب ثلاث ارباع الشعب اللي يعاني من ضغط وسكر وقولون عصبي هو بسبة اس تي سي .. والربع الباقي بين موبايلي وزين,,,,
  والموظفين لهم ثلاث اسابيع يقولون حاطين رقمك من المتضررين عشان نعوضك وتوه موظف يقول لا مافيه خلل ولا شي هيا اصدق مين والا مين 👎🏻وشركه كبيره بحجم موبايلي خلل مو قادره تضبطه لها شهر قولو الصحيح من الاول,,,,
  والنت سيئ وتغلونها,,,,
  والي يقهر انك تكلم خدمة العملاء يردون عليك وثم يسحبون وم عاد يردو وتتصل ع الموظف م يرد فيه رفع ضغط وحرق اعصاب اشكل من كذا,,,,
  وانتم مانين علينا بثلاثه قيقا وتدقع دبلها واول مايجي حلرل الراتب يفصل عنك الله يدبل اكبودكم شركات  ,,,,
  واي صوره من السناب من الالبوم تنخصم من البيانات ومن لما اشتركت البيانات اخذت اقل من اسبوعين على كيفكم هي الشغله تحطون مميزات وتطلع كلام بالهوى ..ايش ابغى بالانستقرام اذا بس صور ليش مااحطيتوه من ضمن مميزاته ليش ماشرحتوه,,,,
